,time,accumulation,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16,B8,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
12,12:42:03,6.0,29,15,5,48,49,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
13,12:42:33,6.5,29,15,5,48,49,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
14,12:43:04,7.016666666666667,29,15,5,48,48,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.026369168356997916,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
15,12:43:34,7.516666666666667,29,15,5,48,49,7,12,23,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.006085192697768705,0.0,0.043478260869565216,-0.03765690376569032,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
16,12:44:05,8.033333333333333,29,15,5,48,49,7,12,23,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.006085192697768705,0.0,0.043478260869565216,-0.03765690376569032,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
17,12:44:33,8.5,29,15,5,49,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.02941176470588232,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
18,12:45:04,9.016666666666667,29,15,5,49,48,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.02941176470588232,-0.026369168356997916,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
19,12:45:34,9.516666666666667,30,16,5,50,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.05042016806722686,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
20,12:46:05,10.033333333333333,29,15,5,51,48,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.0714285714285714,-0.026369168356997916,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
21,12:46:33,10.5,29,15,5,51,49,7,12,24,24,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.0714285714285714,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
22,12:47:04,11.016666666666667,29,16,5,53,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,0.04575163398692805,0.0,0.11344537815126048,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
23,12:47:34,11.516666666666667,29,16,5,55,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,0.04575163398692805,0.0,0.15546218487394955,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
24,12:48:05,12.033333333333333,29,15,5,57,49,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.19747899159663862,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
25,12:48:33,12.5,30,16,5,61,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.28151260504201675,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
26,12:49:04,13.016666666666667,30,16,5,65,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.36554621848739494,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
27,12:49:34,13.516666666666667,30,16,5,71,49,7,11,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.49159663865546216,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
28,12:50:05,14.033333333333333,29,15,5,78,48,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.6386554621848739,-0.026369168356997916,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
29,12:50:33,14.5,29,15,5,85,49,7,11,24,24,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.7857142857142857,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
30,12:51:04,15.016666666666667,30,16,5,95,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.995798319327731,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
31,12:51:34,15.516666666666667,30,15,5,104,49,7,12,24,23,12,7,15,17,7,12,18,,0.023890784982935127,-0.019607843137254947,0.0,1.184873949579832,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
32,12:52:05,16.033333333333335,30,16,5,115,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,1.415966386554622,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
33,12:52:33,16.5,31,16,5,123,49,7,11,24,24,12,7,15,17,7,12,18,,0.058020477815699634,0.04575163398692805,0.0,1.5840336134453783,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
34,12:53:04,17.016666666666666,29,15,5,131,48,7,11,23,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,1.7521008403361344,-0.026369168356997916,0.0,-0.043478260869565216,-0.03765690376569032,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
35,12:53:34,17.516666666666666,30,16,5,139,49,7,12,25,24,13,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,1.9201680672268908,-0.006085192697768705,0.0,0.043478260869565216,0.046025104602510525,0.03004291845493559,0.08333333333333333,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
36,12:54:05,18.033333333333335,29,15,5,144,49,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,2.0252100840336134,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
37,12:54:33,18.5,30,16,5,150,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,2.1512605042016806,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
38,12:55:03,19.0,30,16,5,154,49,7,12,24,24,12,7,16,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,2.235294117647059,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.06666666666666667,0.0,0.014492753623188354,0.0,0.0
39,12:55:34,19.516666666666666,29,15,5,157,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,2.2983193277310927,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
